ISO3,Country / Territory,Year,Event Name,Date of Event (start),Disaster Internal Displacements,Hazard Category,Hazard Type,Hazard Sub Type
PHL,Philippines,2017,"China, malaysia, philippines, thailand, vietnam: typhoon doksuri - 11/9/2017",2017-09-11,41000,Weather related,Storm,"Storm, tropical, typhoon"
PHL,Philippines,2017,"China, taiwan, philippines: typhoon nesat (gorio) / tropical depression haitang / southwest monsoon - 25/7/2017",2017-07-25,1800,Weather related,Storm,"Storm, tropical, cyclone"
PHL,Philippines,2016,Marikina landslide,2016-09-25,50,Geophysical,Dry mass movement,
PHL,Philippines,2016,Region ii monsoon rains,2016-12-30,70,Geophysical,Dry mass movement,
PHL,Philippines,2016,Strong wind,2016-04-25,300,Weather related,Storm,
PHL,Philippines,2016,Typhoon megi,2016-09-22,2600,Weather related,Storm,
PHL,Philippines,2016,Typhoon nepartak,2016-07-02,22000,Weather related,Storm,
PHL,Philippines,2016,Typhoon haima,2016-10-14,2377000,Weather related,Storm,
PHL,Philippines,2016,Typhoon sarika,2016-10-13,208000,Weather related,Storm,
PHL,Philippines,2008,,2008-04-09,350000,Weather related,Flood,Flood
PHL,Philippines,2008,,2008-12-02,206000,Weather related,Flood,Flood
PHL,Philippines,2008,,2008-01-01,2039000,Weather related,Storm,Storm
PHL,Philippines,2008,,2008-06-09,12000,Weather related,Wet mass movement,Wet mass movement
PHL,Philippines,2008,,2008-05-18,55000,Weather related,Storm,Storm
PHL,Philippines,2008,,2008-07-18,3100,Weather related,Storm,Storm
PHL,Philippines,2008,,2008-01-12,51000,Weather related,Flood,Flood
PHL,Philippines,2008,,2008-07-28,440,Weather related,Storm,Storm
PHL,Philippines,2008,,2008-08-22,3500,Weather related,Storm,Storm
PHL,Philippines,2008,,2008-11-21,30000,Weather related,Flood,Flood
PHL,Philippines,2008,,2008-09-22,5200,Weather related,Storm,Storm
PHL,Philippines,2009,Typhoon morakot (kiko),2009-01-01,35000,Weather related,Storm,Storm
PHL,Philippines,2009,Topical storm 'feria' (nangka),2009-01-01,63000,Weather related,Storm,Storm
PHL,Philippines,2009,,2009-01-01,100,Weather related,Storm,Storm
PHL,Philippines,2009,Tropical storm 'ondoy' (ketsana),2009-01-01,561000,Weather related,Storm,Storm
PHL,Philippines,2009,Typhoon 'pepeng' (parma),2009-01-01,500000,Weather related,Storm,Storm
PHL,Philippines,2009,Goni (jolina),2009-01-01,20000,Weather related,Storm,Storm
PHL,Philippines,2009,,2009-01-01,200000,Weather related,Flood,Flood
PHL,Philippines,2009,Tropical storm 'auring',2009-01-01,200000,Weather related,Storm,Storm
PHL,Philippines,2009,Typhoon  'emong' (chanom),2009-01-01,117000,Weather related,Storm,Storm
PHL,Philippines,2009,Tropical storm 'mirinae' (santi),2009-01-01,115000,Weather related,Storm,Storm
PHL,Philippines,2009,Typhoon 'dante' (kujira),2009-01-01,55000,Weather related,Storm,Storm
PHL,Philippines,2009,Tropical depression 'maring' (mujigae),2009-01-01,41000,Weather related,Storm,Storm
PHL,Philippines,2009,Tropical storm 'isang' (molave),2009-01-01,7300,Weather related,Storm,Storm
PHL,Philippines,2009,Tropical storm labuyo (dujuan),2009-01-01,1500,Weather related,Storm,Storm
PHL,Philippines,2010,,2010-01-01,33000,Weather related,Flood,Flood
PHL,Philippines,2010,,2010-01-01,384000,Weather related,Flood,Flood
PHL,Philippines,2010,Typhoon megi (juan),2010-01-01,150000,Weather related,Storm,Storm
PHL,Philippines,2010,Typhoon conson (basyang),2010-01-01,137000,Weather related,Storm,Storm
PHL,Philippines,2010,,2010-01-01,80000,Weather related,Flood,Flood
PHL,Philippines,2010,,2010-01-01,68000,Weather related,Flood,Flood
PHL,Philippines,2010,,2010-01-01,48000,Weather related,Flood,Flood
PHL,Philippines,2010,,2010-01-01,40000,Weather related,Flood,Flood
PHL,Philippines,2010,,2010-01-01,40000,Weather related,Flood,Flood
PHL,Philippines,2010,,2010-01-01,20000,Weather related,Flood,Flood
PHL,Philippines,2010,,2010-01-01,1200,Weather related,Flood,Flood
PHL,Philippines,2010,,2010-01-01,590,Weather related,Flood,Flood
PHL,Philippines,2011,Typhoon quiel (nalgae),2011-01-01,144000,Weather related,Storm,Storm
PHL,Philippines,2011,,2011-01-01,14000,Weather related,Flood,Flood
PHL,Philippines,2011,,2011-01-01,25000,Weather related,Flood,Flood
PHL,Philippines,2011,Tropical storm washi (sendong),2011-01-01,441000,Weather related,Storm,Storm
PHL,Philippines,2011,,2011-01-01,4000,Weather related,Flood,Flood
PHL,Philippines,2011,,2011-01-01,9100,Weather related,Flood,Flood
PHL,Philippines,2011,,2011-01-01,6100,Weather related,Flood,Flood
PHL,Philippines,2011,,2011-01-01,72000,Weather related,Flood,Flood
PHL,Philippines,2011,,2011-01-01,28,Weather related,Flood,Flood
PHL,Philippines,2011,Topical storm juaning (nock-ten),2011-01-01,151000,Weather related,Storm,Storm
PHL,Philippines,2011,Typhoon 'kabayan' (muifa),2011-01-01,14000,Weather related,Storm,Storm
PHL,Philippines,2011,Typhoon bebeng (aere),2011-01-01,91000,Weather related,Storm,Storm
PHL,Philippines,2011,Typhoon pedring (nesat),2011-01-01,168000,Weather related,Storm,Storm
PHL,Philippines,2011,Topical storm 'meari' (falcon),2011-01-01,213000,Weather related,Storm,Storm
PHL,Philippines,2011,Tropical storm ramon (banyan),2011-01-01,18000,Weather related,Storm,Storm
PHL,Philippines,2011,Typhoon mina (nanmadol),2011-01-01,227000,Weather related,Storm,Storm
PHL,Philippines,2011,,2011-01-01,672000,Weather related,Flood,Flood
PHL,Philippines,2011,Typhoon chedeng (songda),2011-01-01,226000,Weather related,Storm,Storm
PHL,Philippines,2012,,2012-01-01,60000,Weather related,Storm,Storm
PHL,Philippines,2012,,2012-01-01,1553000,Weather related,Flood,Flood
PHL,Philippines,2012,,2012-01-01,1932000,Weather related,Storm,Storm
PHL,Philippines,2012,,2012-01-01,55000,Weather related,Storm,Storm
PHL,Philippines,2014,Typhoon rammasun (local name: glenda),2014-07-15,2994000,Weather related,Storm,Storm
PHL,Philippines,2014,Tropical storm lingling (local name: agaton),2014-01-17,400000,Weather related,Storm,Storm
PHL,Philippines,2014,Tropical storm fung-wong (local name: mario),2014-09-19,206000,Weather related,Storm,Storm
PHL,Philippines,2014,Tropical storm jangmi (local name: seniang),2014-12-29,156000,Weather related,Storm,Storm
PHL,Philippines,2014,Floods caused by tropical storm sinlaku (local name: queenie),2014-11-26,7300,Weather related,Flood,Flood
PHL,Philippines,2014,Typhoon kalmaegi (local name: luis),2014-09-12,77000,Weather related,Storm,Storm
PHL,Philippines,2014,Flood following caloy depression,2014-03-19,1600,Weather related,Flood,Flood
PHL,Philippines,2014,Typhoon hagupit (local name: ruby),2014-12-06,1823000,Weather related,Storm,Storm
PHL,Philippines,2014,"Mindanao, north cotabato and maguindanao province flood",2014-08-30,730,Weather related,Flood,Flood
PHL,Philippines,2014,Tropical storm kajiki (local name: basyang),2014-01-30,18000,Weather related,Storm,Storm
PHL,Philippines,2014,Southwest monsoon habagat enhanced by typhoon halong (local name: josé),2014-08-05,6500,Weather related,Storm,Storm
PHL,Philippines,2014,Intertropical convergence zone (itcz),2014-10-07,46000,Weather related,Storm,Storm
PHL,Philippines,2015,Effects of inter-tropical convergence zone,2015-07-30,920,Weather related,Storm,"Storm, inter-tropical convergence zone"
PHL,Philippines,2015,Typhoon mujigae (local name: kabayan),2015-10-01,22000,Weather related,Storm,"Storm, tropical, typhoon"
PHL,Philippines,2015,Storm linfa (local name: egay),2015-07-04,45000,Weather related,Storm,"Storm, tropical"
PHL,Philippines,2015,Typhoon chedeng (local name: maysak),2015-04-04,2800,Weather related,Storm,"Storm, tropical, typhoon"
PHL,Philippines,2015,Mindanao floods (jun-jul),2015-06-23,3800,Weather related,Flood,Flood
PHL,Philippines,2015,Northeast monsoon,2015-12-20,4800,Weather related,Storm,Monsoon
PHL,Philippines,2015,Typhoon  noul (local name: dodong),2015-05-10,3800,Weather related,Storm,"Storm, tropical, typhoon"
PHL,Philippines,2015,Southwest monsoon,2015-07-07,5500,Weather related,Storm,"Storm, tropical, typhoon"
PHL,Philippines,2015,Typhoon koppu (local name: lando),2015-10-14,938000,Weather related,Storm,"Storm, tropical, typhoon"
PHL,Philippines,2015,Tropical depression onyok,2015-12-16,18000,Weather related,Storm,"Storm, tropical, depression"
PHL,Philippines,2015,Typhoon goni (local name: ineng),2015-08-18,318000,Weather related,Storm,"Storm, tropical, typhoon"
PHL,Philippines,2015,Typhoon melor (local name: nona),2015-12-14,743000,Weather related,Storm,"Storm, tropical, typhoon"
PHL,Philippines,2015,Tropical cyclone mekkhala (local name: amang),2015-01-15,115000,Weather related,Storm,"Storm, tropical"
PHL,Philippines,2017,Japan; philippines: typhoon lan (paolo) - 15/10/2017,2017-10-15,130000,Weather related,Storm,"Storm, tropical, cyclone"
